,City,Country,Temperature (F),Latitude,Longitude,Humidity (%),Cloudiness (%),Wind Speed (mph)
0,Vaini,IN,61.13,15.34,74.49,96,36,5.53
1,Mesetas,CO,83.99,3.38,-74.04,52,32,2.62
2,Rikitea,PF,80.43,-23.12,-134.97,100,24,13.91
3,Punta Arenas,CL,53.6,-53.16,-70.91,58,75,26.4
4,Butaritari,KI,83.36,3.07,172.79,100,44,12.01
5,Atuona,PF,78.63,-9.8,-139.03,100,64,18.5
6,Qaanaaq,GL,-14.97,77.48,-69.36,86,12,10.11
7,Bredasdorp,ZA,71.6,-34.53,20.04,78,44,9.17
8,Husavik,CA,-6.83,50.56,-96.99,87,80,16.82
9,Urucara,BR,86.96,-2.54,-57.76,64,56,4.85
10,Ilulissat,GL,24.8,69.22,-51.1,73,12,4.7
12,Puerto Cabezas,NI,84.2,14.04,-83.39,79,75,6.93
13,San Cristobal,EC,70.75,-0.39,-78.55,60,20,17.22
14,Robertson,ZA,59.55,-33.8,19.88,64,0,2.51
15,Pevek,RU,-4.22,69.7,170.27,91,68,12.8
17,Manono,CD,70.98,-7.3,27.4,92,44,7.87
18,Savannah Bight,HN,84.2,16.45,-85.85,70,20,3.36
19,Makat,KZ,28.19,47.65,53.35,95,88,18.95
20,Kapaa,US,75.6,22.08,-159.32,53,40,16.11
21,Tarakan,ID,76.11,3.3,117.63,100,76,3.74
22,Clyde River,CA,-11.21,70.47,-68.59,76,90,14.99
23,Tuktoyaktuk,CA,-14.81,69.44,-133.03,75,75,21.92
24,Upernavik,GL,13.83,72.79,-56.15,96,8,5.08
25,Kaeo,NZ,72.78,-35.1,173.78,75,36,11.23
26,Mataura,NZ,65.36,-46.19,168.86,93,100,9.78
27,North Bend,US,57.92,43.41,-124.22,66,1,5.82
28,Castro,CL,60.8,-42.48,-73.76,59,90,10.29
30,Mehamn,NO,11.82,71.03,27.85,78,0,6.93
31,New Norfolk,AU,64.4,-42.78,147.06,45,20,12.75
32,Port Lincoln,AU,58.56,-34.72,135.86,100,0,3.85
33,Dali,CN,34.13,25.6,100.24,100,0,1.83
34,Port Alfred,ZA,70.98,-33.59,26.89,83,68,15.37
35,Ushuaia,AR,57.2,-54.81,-68.31,70,75,13.87
36,Santa Lucia,IT,53.6,39.93,9.66,58,20,19.46
37,Baneh,IR,51.8,35.99,45.88,100,90,6.93
38,Hermanus,ZA,67.65,-34.42,19.24,60,0,9.66
39,Chuy,UY,81.02,-33.69,-53.46,78,12,14.47
40,Barrow,AR,88.49,-38.31,-60.23,56,0,10.67
41,Busselton,AU,60.41,-33.64,115.35,100,0,12.91
42,Talnakh,RU,-26.13,69.49,88.39,39,20,3.06
43,Vostok,RU,4.16,46.45,135.83,75,80,2.28
44,Gannan,CN,10.46,47.92,123.49,66,44,7.43
45,Socota,PE,60.59,-6.32,-78.7,80,80,2.17
47,Yellowknife,CA,-11.21,62.45,-114.38,76,5,14.99
48,Mitchell,US,21.92,43.71,-98.03,84,90,24.16
49,Koumac,NC,79.53,-20.56,164.28,74,0,8.1
50,Jamestown,AU,50.46,-33.21,138.6,83,0,3.51
51,Pangnirtung,CA,6.8,66.15,-65.72,60,75,3.36
52,Mar del Plata,AR,73.73,-46.43,-67.52,36,44,23.31
53,Fairbanks,US,5.13,64.84,-147.72,87,20,9.66
54,Lata,IN,21.66,30.78,78.62,76,0,2.06
56,Kampene,CD,69.09,-3.59,26.67,98,24,1.95
57,Yairipok,IN,53.34,24.67,94.07,90,48,2.95
58,Albany,US,35.35,42.65,-73.75,61,75,13.87
59,Ierapetra,GR,50,35.01,25.74,76,75,6.93
60,Werda,DE,35.38,50.44,12.3,80,68,11.41
61,Fukue,JP,35.6,35.03,136.69,59,75,4.7
62,Henties Bay,NA,62.16,-22.12,14.28,100,0,6.42
63,Conceicao do Araguaia,BR,82.73,-8.26,-49.26,88,36,3.51
64,Port Hardy,CA,46.4,50.7,-127.42,93,90,6.93
65,Buchanan,LR,78.8,5.88,-10.05,94,0,9.1
66,Dedza,MW,63.06,-14.38,34.33,94,64,2.95
67,Hobart,AU,64.4,-42.88,147.33,45,20,12.75
68,Bonoua,CI,80.6,5.27,-3.6,94,0,6.93
69,San Gabriel,US,74.37,34.1,-118.11,16,1,3.36
71,Ribeira Grande,PT,59,38.52,-28.7,77,40,8.05
72,Cape Town,ZA,73.4,-33.93,18.42,53,0,10.29
73,Buncrana,GB,39.2,55.14,-7.45,69,75,5.82
74,Guerrero Negro,MX,75.39,27.97,-114.04,30,0,5.41
75,Kaitangata,NZ,67.29,-46.28,169.85,83,92,14.81
76,Daru,SL,80.7,7.99,-10.85,23,0,8.77
77,Puri,ID,77,-7.54,112.45,100,20,9.17
78,Arraial do Cabo,BR,80.79,-22.97,-42.02,78,0,21.85
79,Lebu,ET,57.2,8.96,38.73,62,0,6.93
80,Sola,FI,-13.01,62.78,29.36,75,0,4.7
81,Altea,ES,57.2,38.6,-0.05,30,0,11.41
82,Kapit,MY,74.81,2.02,112.94,95,92,0.94
83,Hithadhoo,MV,82.41,-0.6,73.08,100,64,9.44
85,Faya,SA,59.92,18.39,42.45,67,0,4.63
86,East London,ZA,71.7,-33.02,27.91,95,56,18.05
87,Vanderhoof,CA,32.64,54.02,-124.02,46,0,6.08
88,Lasa,CY,52.83,34.92,32.53,81,75,8.05
89,Puerto Ayora,EC,87.8,-0.74,-90.35,62,20,13.87
90,Walvis Bay,NA,62.6,-22.95,14.51,82,0,5.82
91,Taltal,CL,74.13,-25.41,-70.49,68,0,4.18
92,Panama City,US,53.31,30.16,-85.65,46,1,5.82
93,Petropavlovsk-Kamchatskiy,RU,-4.01,53.05,158.65,76,0,11.18
94,Qinzhou,CN,57.62,21.96,108.62,92,92,4.29
95,Tiksi,RU,-30.45,71.64,128.87,50,20,2.51
96,Ekibastuz,KZ,-7.5,51.72,75.32,62,36,6.64
97,Antofagasta,CL,71.6,-23.65,-70.4,68,20,11.41
98,Saint-Philippe,CA,25.7,45.36,-73.48,68,20,28.86
99,Atasu,KZ,-12.95,48.68,71.64,59,0,10.67
100,Tuatapere,NZ,61.89,-46.13,167.69,90,32,15.93
101,Kalmunai,LK,68.33,7.42,81.82,95,0,3.62
102,San Antonio Huista,GT,68.51,15.7,-91.7,57,68,2.62
103,Hobyo,SO,75.3,5.35,48.53,81,0,16.71
105,Faanui,PF,79.31,-16.48,-151.75,100,76,20.74
106,Ushibuka,JP,44.03,32.19,130.02,100,88,7.43
107,Norman Wells,CA,1.4,65.28,-126.83,77,75,6.93
108,Morondava,MG,77.55,-20.3,44.28,100,0,0.38
109,San Juan,PH,73.4,14.6,121.03,78,75,5.82
110,Wangaratta,AU,66.49,-36.36,146.32,68,88,1.12
